segments [
  [ 34, 101, 4309, 5409, '1100' ],
  [ 144, 211, 6142.4, 7242.4, '1100' ],
  [ 254, 321, 7975.7, 9075.7, '1100' ],
  [ 393, 460, 10309, 11409, '1100' ],
  [ 518, 585, 12392.3, 13492.3, '1100' ]
]
--- seg 34
32 4275.6   "" waapi=0 nA=2
33 4291.7   "" waapi=0 nA=2
34 4309 R "" waapi=0 nA=2
460 11425.6   2160.0,3060.0 waapi=0 nA=2
461 11441.5   2160.0,3060.0 waapi=0 nA=2
462 11459   2160.0,3060.0 waapi=0 nA=2
--- seg 518
516 12359   2160.0,3060.0 waapi=0 nA=4
517 12375.4   2160.0,3060.0 waapi=0 nA=4
518 12392.3 R 2160.0,3060.0 waapi=0 nA=4
519 12409 R 2160.0,3060.0 waapi=0 nA=4
520 12425.6 R 2235.1,3128.3 waapi=0 nA=4
521 12442.4 R 2307.5,3194.1 waapi=0 nA=4
522 12459.1 R 2378.3,3258.4 waapi=0 nA=4
523 12474.7 R 2445.5,3319.6 waapi=0 nA=4
524 12492.3 R 2505.4,3374.0 waapi=0 nA=2
525 12509 R 2569.3,3432.1 waapi=0 nA=2
526 12525.6 R 2626.2,3483.8 waapi=0 nA=2
527 12542.4 R 2679.1,3531.9 waapi=0 nA=2
528 12559.1 R 2728.9,3577.2 waapi=0 nA=2
529 12575.1 R 2774.9,3619.0 waapi=0 nA=2
530 12592.4 R 2815.8,3656.2 waapi=0 nA=2
531 12608.3 R 2856.7,3693.3 waapi=0 nA=2
532 12625.3 R 2891.3,3724.8 waapi=0 nA=2
533 12642.2 R 2925.4,3755.8 waapi=0 nA=2
534 12658.3 R 2956.6,3784.2 waapi=0 nA=2
535 12675.5 R 2983.9,3809.0 waapi=0 nA=2
536 12692.3 R 3010.7,3833.3 waapi=0 nA=2
537 12709.1 R 3034.6,3855.1 waapi=0 nA=2
538 12725.7 R 3056.6,3875.1 waapi=0 nA=2
539 12742 R 3076.4,3893.1 waapi=0 nA=2
540 12758.3 R 3094.2,3909.3 waapi=0 nA=2
541 12775.6 R 3110.5,3924.1 waapi=0 nA=2
542 12792.3 R 3126.3,3938.5 waapi=0 nA=2
543 12809 R 3140.2,3951.1 waapi=0 nA=2
544 12825.7 R 3152.7,3962.5 waapi=0 nA=2
545 12841.8 R 3164.1,3972.8 waapi=0 nA=2
546 12859 R 3174.1,3981.9 waapi=0 nA=2
547 12875.7 R 3183.7,3990.6 waapi=0 nA=2
548 12892.4 R 3192.0,3998.2 waapi=0 nA=2
549 12909 R 3199.4,4004.9 waapi=0 nA=2
550 12925.6 R 3206.0,4010.9 waapi=0 nA=2
551 12942.3 R 3211.8,4016.2 waapi=0 nA=2
552 12959 R 3216.9,4020.8 waapi=0 nA=2
553 12975.7 R 3221.3,4024.8 waapi=0 nA=2
554 12992.3 R 3225.0,4028.2 waapi=0 nA=2
555 13009 R 3228.2,4031.1 waapi=0 nA=2
556 13025.6 R 3230.7,4033.4 waapi=0 nA=2
557 13042 R 3232.7,4035.2 waapi=0 nA=2
558 13059 R 3234.2,4036.6 waapi=0 nA=2
559 13075.7 R 3235.3,4037.5 waapi=0 nA=2
560 13092.3 R 3235.8,4038.1 waapi=0 nA=2
561 13109 R 3236.0,4038.2 waapi=0 nA=2
562 13125.7 R 3235.7,4037.9 waapi=0 nA=2
563 13142 R 3235.0,4037.3 waapi=0 nA=2
564 13159 R 3234.0,4036.4 waapi=0 nA=2
565 13175.7 R 3232.6,4035.1 waapi=0 nA=2
566 13192.4 R 3230.8,4033.5 waapi=0 nA=2
567 13209 R 3228.8,4031.6 waapi=0 nA=2
568 13225.7 R 3226.4,4029.5 waapi=0 nA=2
569 13242.4 R 3223.7,4027.0 waapi=0 nA=2
570 13259 R 3220.8,4024.3 waapi=0 nA=2
571 13275.7 R 3217.6,4021.4 waapi=0 nA=2
572 13292.3 R 3214.1,4018.3 waapi=0 nA=2
573 13308.5 R 3210.4,4014.9 waapi=0 nA=2
574 13324.8 R 3206.6,4011.4 waapi=0 nA=2
575 13342.3 R 3202.5,4007.8 waapi=0 nA=2
576 13359.1 R 3197.9,4003.6 waapi=0 nA=2
577 13375.7 R 3193.3,3999.3 waapi=0 nA=2
578 13392.4 R 3188.5,3995.0 waapi=0 nA=2
579 13409 R 3183.5,3990.5 waapi=0 nA=2
580 13425.7 R 3178.4,3985.8 waapi=0 nA=2
581 13442.4 R 3173.0,3980.9 waapi=0 nA=2
582 13459 R 3167.5,3975.9 waapi=0 nA=2
583 13475.6 R 3161.8,3970.8 waapi=0 nA=2
584 13492.3 R 3156.0,3965.5 waapi=0 nA=2
585 13509   3150.0,3960.0 waapi=0 nA=2
586 13525.7   3150.0,3960.0 waapi=0 nA=2
587 13542.4   3150.0,3960.0 waapi=0 nA=2
rAF>20ms 1 [[362,"33.4"]]
median dt 16.70 span 10567
